         word  count
       course     23
communication     12
        great     10
      enjoyed      4
        right      4
         good      4
       really      4
        plays      3
      improve      3
        loved      3
         real      3
     examples      3
         week      3
        maybe      3
        build      3
        trust      3
       skills      3
    professor      3
        thank      3
      maurice      3
  interesting      3
    excellent      3
         like      2
         fact      2
       points      2
       taught      2
        every      2
         play      2
        skill      2
  development      2
      helpful      2
          lot      2
         life      2
         well      2
       helped      2
         past      2
         sure      2
         many      2
        value      2
        would      2
      quizzes      2
     insights      2
     material      2
         back      2
        world      2
        might      2
        video      2
     scenario      2
          job      2
         make      2
          way      2
      lecture      2
   schweitzer      2
   instructor      2
            4      2
          use      2
       module      2
    important      2
     relevant      2
       verbal      2
  effectively      2
      related      2
       topics      2
      overall      2
     multiple      2
          bit      2
        worth      2
        solid      1
        short      1
       videos      1
   appreciate      1
         able      1
        audit      1
         free      1
     concepts      1
         felt      1
   surprising      1
        times      1
         much      1
         role      1
       detail      1
    effective      1
       thanks      1
      stories      1
        apply      1
     designed      1
      program      1
          set      1
 perspectives      1
          add      1
       future      1
   endeavours      1
         wish      1
      clearer      1
    benefited      1
    exercises      1
     thinking      1
   critically      1
         dont      1
        learn      1
      getting      1
          bad      1
       grades      1
     business      1
 professional      1
        helps      1
         hone      1
      gaining      1
         tips      1
        didnt      1
         know      1
         nice      1
   throughout      1
         tied      1
          end      1
       saying      1
          hey      1
      learned      1
     building      1
        going      1
         look      1
         help      1
        youve      1
      started      1
          new      1
        first      1
          day      1
         want      1
        youre      1
        start      1
        wrong      1
         ways      1
     question      1
    presenter      1
         asks      1
         lets      1
       review      1
        scene      1
     stopping      1
     comments      1
        along      1
  exceptional      1
   understand      1
     patterns      1
        among      1
       rivals      1
   thoroughly      1
  schweitzers      1
    improving      1
   unexpected      1
        terms      1
    materials      1
      however      1
  appreciated      1
     learning      1
       social      1
     dynamics      1
    breakdown      1
     analyses      1
         kept      1
    attention      1
        weeks      1
          sir      1
          get      1
       deeply      1
     powerful      1
    knowledge      1
advertisement      1
   networking      1
       buying      1
      process      1
         team      1
   management      1
        sales      1
       profit      1
   motivation      1
    interview      1
       making      1
      friends      1
         feel      1
   portraying      1
      oneself      1
       honest      1
 approachable      1
       person      1
     reducing      1
      rivalry      1
         turn      1
     becoming      1
      happier      1
   insightful      1
   intriguing      1
       richly      1
  embellished      1
    sometimes      1
        funny      1
          yet      1
  informative      1
        teach      1
         deal      1
        using      1
          non      1
         cues      1
    negotiate      1
    apologize      1
        goals      1
      setting      1
       useful      1
    recommend      1
       anyone      1
        wants      1
         game      1
         last      1
        least      1
         prof      1
      amazing      1
knowledgeable      1
          hes      1
      talking      1
         soft      1
 organization      1
   applicable      1
     suitable      1
     everyone      1
     engaging      1
         made      1
    excelente      1
        curso      1
      nuances      1
    presented      1
      variety      1
     subjects      1
     negative      1
         side      1
   evaluation      1
        could      1
  interactive      1
   consisting      1
       choice      1
      include      1
      written      1
         task      1
         even      1
     eschange      1
     contains      1
       little      1
    difficult      1
      lessons      1
     valuable      1
       weight      1
         gold      1
         gave      1
        tools      1
      current      1
       career      1
     military      1
      officer      1
   impressive      1
       simple      1
        clear      1
        share      1
     critical      1
         view      1
  communicate      1
  wonderfully      1
    delivered      1
      immense      1
     addition      1
